car_make,id1,car_model,id2,link
Mazda,16800,CX-5,33,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;33&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,CX-7,26,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;26&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,CX-9,27,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;27&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,Demio,11,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;11&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,E series,12,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;12&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,Millenia,24,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;24&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,MPV,13,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;13&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,MX-3,14,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;14&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,MX-30,60,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;60&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,MX-5,15,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;15&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,MX-6,16,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;16&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,Premacy,17,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;17&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,Protege,25,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;25&ref=quickSearch&sfmr=false&vc=Car
